id,item,conditions,sharpness,relevant_property,combination,human_slider
7,23,erdc,sharp,first,dimension_color,1.0
7,20,brdc,sharp,both,dimension_color,1.0
7,12,zrdc,sharp,second,dimension_color,1.0
7,15,erdc,sharp,first,dimension_color,1.0
7,23,brdc,sharp,both,dimension_color,1.0
7,7,zrdc,sharp,second,dimension_color,1.0
7,7,erdc,sharp,first,dimension_color,1.0
7,4,brdc,sharp,both,dimension_color,1.0
7,4,zrdc,sharp,second,dimension_color,1.0
7,26,brdc,sharp,both,dimension_color,1.0
7,12,brdc,sharp,both,dimension_color,1.0
7,20,erdc,sharp,first,dimension_color,1.0
7,23,zrdc,sharp,second,dimension_color,1.0
7,7,brdc,sharp,both,dimension_color,1.0
7,26,erdc,sharp,first,dimension_color,1.0
7,4,erdc,sharp,first,dimension_color,1.0
7,18,zrdc,sharp,second,dimension_color,1.0
7,15,brdc,sharp,both,dimension_color,1.0
7,1,zrdc,sharp,second,dimension_color,1.0
7,18,brdc,sharp,both,dimension_color,1.0
7,20,zrdc,sharp,second,dimension_color,1.0
8,14,erdc,blurred,first,dimension_color,0.25999999046325684
8,9,zrdc,blurred,second,dimension_color,1.0
8,17,erdc,blurred,first,dimension_color,1.0
8,25,erdc,blurred,first,dimension_color,1.0
8,25,brdc,blurred,both,dimension_color,1.0
8,6,brdc,blurred,both,dimension_color,1.0
8,14,brdc,blurred,both,dimension_color,1.0
8,3,brdc,blurred,both,dimension_color,1.0
8,22,erdc,blurred,first,dimension_color,1.0
8,3,zrdc,blurred,second,dimension_color,1.0
8,19,zrdc,blurred,second,dimension_color,1.0
8,3,erdc,blurred,first,dimension_color,1.0
8,9,erdc,blurred,first,dimension_color,1.0
8,19,brdc,blurred,both,dimension_color,1.0
8,19,erdc,blurred,first,dimension_color,1.0
8,6,zrdc,blurred,second,dimension_color,1.0
8,11,erdc,blurred,first,dimension_color,1.0
8,22,brdc,blurred,both,dimension_color,1.0
8,22,zrdc,blurred,second,dimension_color,0.0
8,14,zrdc,blurred,second,dimension_color,1.0
8,17,zrdc,blurred,second,dimension_color,0.0
8,6,erdc,blurred,first,dimension_color,1.0
8,25,zrdc,blurred,second,dimension_color,0.0
8,11,zrdc,blurred,second,dimension_color,0.0
8,11,brdc,blurred,both,dimension_color,1.0
8,17,brdc,blurred,both,dimension_color,1.0
8,9,brdc,blurred,both,dimension_color,1.0
9,24,zrdc,blurred,second,dimension_color,0.9300000071525574
9,10,zrdc,blurred,second,dimension_color,0.9800000190734863
9,24,brdc,blurred,both,dimension_color,0.8899999856948853
9,27,brdc,blurred,both,dimension_color,0.6200000047683716
9,13,erdc,blurred,first,dimension_color,0.23000000417232513
9,8,erdc,blurred,first,dimension_color,0.8600000143051147
9,8,zrdc,blurred,second,dimension_color,0.8199999928474426
9,8,brdc,blurred,both,dimension_color,0.8199999928474426
9,21,brdc,blurred,both,dimension_color,0.8799999952316284
9,27,zrdc,blurred,second,dimension_color,0.8600000143051147
9,5,zrdc,blurred,second,dimension_color,0.8600000143051147
9,21,zrdc,blurred,second,dimension_color,0.8600000143051147
9,2,zrdc,blurred,second,dimension_color,0.8600000143051147
9,16,brdc,blurred,both,dimension_color,0.8199999928474426
9,5,brdc,blurred,both,dimension_color,0.5799999833106995
9,13,zrdc,blurred,second,dimension_color,0.8199999928474426
9,10,brdc,blurred,both,dimension_color,0.8700000047683716
9,10,erdc,blurred,first,dimension_color,0.5799999833106995
9,21,erdc,blurred,first,dimension_color,0.7699999809265137
9,2,brdc,blurred,both,dimension_color,0.8399999737739563
9,13,brdc,blurred,both,dimension_color,0.8899999856948853
9,24,erdc,blurred,first,dimension_color,0.8600000143051147
9,16,zrdc,blurred,second,dimension_color,0.8999999761581421
9,16,erdc,blurred,first,dimension_color,0.8799999952316284
9,27,erdc,blurred,first,dimension_color,0.8700000047683716
10,9,zrdc,blurred,second,dimension_color,0.7099999785423279
10,6,erdc,blurred,first,dimension_color,0.8199999928474426
10,22,brdc,blurred,both,dimension_color,0.8700000047683716
10,25,zrdc,blurred,second,dimension_color,0.7699999809265137
10,25,brdc,blurred,both,dimension_color,0.6600000262260437
10,3,zrdc,blurred,second,dimension_color,0.7300000190734863
10,19,brdc,blurred,both,dimension_color,0.6100000143051147
10,9,brdc,blurred,both,dimension_color,0.6399999856948853
10,25,erdc,blurred,first,dimension_color,0.6200000047683716
10,11,zrdc,blurred,second,dimension_color,0.6499999761581421
10,6,zrdc,blurred,second,dimension_color,0.7400000095367432
10,22,zrdc,blurred,second,dimension_color,0.36000001430511475
10,19,erdc,blurred,first,dimension_color,0.7799999713897705
10,17,erdc,blurred,first,dimension_color,0.6800000071525574
10,3,brdc,blurred,both,dimension_color,0.30000001192092896
10,17,brdc,blurred,both,dimension_color,0.6600000262260437
10,14,zrdc,blurred,second,dimension_color,0.25
10,11,erdc,blurred,first,dimension_color,0.9200000166893005
10,3,erdc,blurred,first,dimension_color,0.7400000095367432
10,19,zrdc,blurred,second,dimension_color,0.6299999952316284
10,17,zrdc,blurred,second,dimension_color,0.6100000143051147
11,20,zrdc,sharp,second,dimension_color,1.0
11,26,brdc,sharp,both,dimension_color,1.0
11,4,erdc,sharp,first,dimension_color,1.0
11,18,zrdc,sharp,second,dimension_color,1.0
11,4,brdc,sharp,both,dimension_color,1.0
11,23,erdc,sharp,first,dimension_color,1.0
11,12,erdc,sharp,first,dimension_color,1.0
11,23,zrdc,sharp,second,dimension_color,0.0
11,18,erdc,sharp,first,dimension_color,1.0
11,18,brdc,sharp,both,dimension_color,0.0
11,20,erdc,sharp,first,dimension_color,1.0
11,7,erdc,sharp,first,dimension_color,1.0
11,12,brdc,sharp,both,dimension_color,1.0
11,15,erdc,sharp,first,dimension_color,1.0
11,23,brdc,sharp,both,dimension_color,0.0
11,1,brdc,sharp,both,dimension_color,1.0
11,7,zrdc,sharp,second,dimension_color,0.0
11,15,brdc,sharp,both,dimension_color,0.0
11,1,erdc,sharp,first,dimension_color,1.0
11,15,zrdc,sharp,second,dimension_color,0.0
11,20,brdc,sharp,both,dimension_color,0.0
11,7,brdc,sharp,both,dimension_color,0.0
11,12,zrdc,sharp,second,dimension_color,0.0
11,4,zrdc,sharp,second,dimension_color,0.0
11,26,erdc,sharp,first,dimension_color,1.0
11,1,zrdc,sharp,second,dimension_color,0.0
11,26,zrdc,sharp,second,dimension_color,0.0
12,11,erdc,blurred,first,dimension_color,1.0
12,3,brdc,blurred,both,dimension_color,0.0
12,6,brdc,blurred,both,dimension_color,0.10000000149011612
12,19,brdc,blurred,both,dimension_color,0.4699999988079071
12,9,brdc,blurred,both,dimension_color,0.5299999713897705
12,25,zrdc,blurred,second,dimension_color,0.5199999809265137
12,17,brdc,blurred,both,dimension_color,0.6000000238418579
12,11,zrdc,blurred,second,dimension_color,0.46000000834465027
12,25,brdc,blurred,both,dimension_color,0.5
12,19,erdc,blurred,first,dimension_color,0.5
12,3,erdc,blurred,first,dimension_color,0.5
12,11,brdc,blurred,both,dimension_color,0.5
12,25,erdc,blurred,first,dimension_color,0.5
12,14,zrdc,blurred,second,dimension_color,0.5
12,17,zrdc,blurred,second,dimension_color,0.5
12,19,zrdc,blurred,second,dimension_color,0.5
12,9,erdc,blurred,first,dimension_color,0.4699999988079071
12,6,erdc,blurred,first,dimension_color,0.5
12,3,zrdc,blurred,second,dimension_color,0.5
12,22,brdc,blurred,both,dimension_color,0.5
12,6,zrdc,blurred,second,dimension_color,0.5
12,9,zrdc,blurred,second,dimension_color,0.5
12,22,zrdc,blurred,second,dimension_color,0.5
13,20,erdc,sharp,first,dimension_color,1.0
13,15,zrdc,sharp,second,dimension_color,1.0
13,26,erdc,sharp,first,dimension_color,1.0
13,23,brdc,sharp,both,dimension_color,1.0
13,15,brdc,sharp,both,dimension_color,1.0
13,18,brdc,sharp,both,dimension_color,0.9900000095367432
13,4,zrdc,sharp,second,dimension_color,0.9800000190734863
13,26,brdc,sharp,both,dimension_color,0.9900000095367432
13,7,erdc,sharp,first,dimension_color,0.9900000095367432
13,23,erdc,sharp,first,dimension_color,0.9800000190734863
13,18,zrdc,sharp,second,dimension_color,0.9800000190734863
13,7,zrdc,sharp,second,dimension_color,0.9800000190734863
13,1,erdc,sharp,first,dimension_color,1.0
13,20,brdc,sharp,both,dimension_color,0.9900000095367432
13,1,brdc,sharp,both,dimension_color,0.9900000095367432
13,18,erdc,sharp,first,dimension_color,0.9800000190734863
13,23,zrdc,sharp,second,dimension_color,1.0
13,15,erdc,sharp,first,dimension_color,0.019999999552965164
13,12,brdc,sharp,both,dimension_color,0.9900000095367432
13,7,brdc,sharp,both,dimension_color,0.9800000190734863
13,26,zrdc,sharp,second,dimension_color,0.9900000095367432
13,4,erdc,sharp,first,dimension_color,0.9900000095367432
13,12,zrdc,sharp,second,dimension_color,1.0
13,12,erdc,sharp,first,dimension_color,0.9900000095367432
13,4,brdc,sharp,both,dimension_color,0.9800000190734863
13,20,zrdc,sharp,second,dimension_color,0.9900000095367432
13,1,zrdc,sharp,second,dimension_color,0.9700000286102295
14,21,brdc,sharp,both,dimension_color,1.0
14,16,brdc,sharp,both,dimension_color,1.0
14,16,zrdc,sharp,second,dimension_color,0.019999999552965164
14,8,erdc,sharp,first,dimension_color,0.9800000190734863
14,13,zrdc,sharp,second,dimension_color,0.0
14,2,erdc,sharp,first,dimension_color,0.9900000095367432
14,27,brdc,sharp,both,dimension_color,0.14000000059604645
14,24,erdc,sharp,first,dimension_color,0.8500000238418579
14,24,brdc,sharp,both,dimension_color,0.25999999046325684
14,27,zrdc,sharp,second,dimension_color,0.18000000715255737
14,5,erdc,sharp,first,dimension_color,0.8600000143051147
14,13,brdc,sharp,both,dimension_color,0.7599999904632568
14,8,zrdc,sharp,second,dimension_color,0.07000000029802322
14,10,zrdc,sharp,second,dimension_color,0.09000000357627869
14,2,zrdc,sharp,second,dimension_color,0.09000000357627869
14,10,brdc,sharp,both,dimension_color,0.8600000143051147
14,5,zrdc,sharp,second,dimension_color,0.1599999964237213
14,2,brdc,sharp,both,dimension_color,0.8899999856948853
14,8,brdc,sharp,both,dimension_color,0.8899999856948853
14,24,zrdc,sharp,second,dimension_color,0.10000000149011612
14,21,zrdc,sharp,second,dimension_color,0.07999999821186066
14,27,erdc,sharp,first,dimension_color,1.0
14,5,brdc,sharp,both,dimension_color,0.8899999856948853
14,13,erdc,sharp,first,dimension_color,0.8899999856948853
14,10,erdc,sharp,first,dimension_color,0.9200000166893005
14,16,erdc,sharp,first,dimension_color,0.8600000143051147
15,19,brdc,blurred,both,dimension_color,0.8500000238418579
15,3,zrdc,blurred,second,dimension_color,0.05000000074505806
15,11,zrdc,blurred,second,dimension_color,0.019999999552965164
15,3,brdc,blurred,both,dimension_color,0.019999999552965164
15,3,erdc,blurred,first,dimension_color,0.9700000286102295
15,19,zrdc,blurred,second,dimension_color,0.009999999776482582
15,14,zrdc,blurred,second,dimension_color,0.019999999552965164
15,11,erdc,blurred,first,dimension_color,0.9800000190734863
15,6,erdc,blurred,first,dimension_color,0.9800000190734863
15,25,zrdc,blurred,second,dimension_color,0.07000000029802322
15,11,brdc,blurred,both,dimension_color,0.8700000047683716
15,22,zrdc,blurred,second,dimension_color,0.11999999731779099
15,25,erdc,blurred,first,dimension_color,0.8399999737739563
15,9,brdc,blurred,both,dimension_color,0.05999999865889549
15,6,zrdc,blurred,second,dimension_color,0.1599999964237213
15,25,brdc,blurred,both,dimension_color,0.10999999940395355
15,19,erdc,blurred,first,dimension_color,0.8700000047683716
15,9,zrdc,blurred,second,dimension_color,0.11999999731779099
15,17,zrdc,blurred,second,dimension_color,0.029999999329447746
15,22,brdc,blurred,both,dimension_color,0.8500000238418579
15,6,brdc,blurred,both,dimension_color,0.9700000286102295
16,23,brdc,sharp,both,dimension_color,1.0
16,4,brdc,sharp,both,dimension_color,1.0
16,15,zrdc,sharp,second,dimension_color,0.9700000286102295
16,26,brdc,sharp,both,dimension_color,1.0
16,15,brdc,sharp,both,dimension_color,0.9900000095367432
16,20,brdc,sharp,both,dimension_color,0.9800000190734863
16,18,erdc,sharp,first,dimension_color,0.9900000095367432
16,23,zrdc,sharp,second,dimension_color,0.9900000095367432
16,7,brdc,sharp,both,dimension_color,0.9800000190734863
16,18,zrdc,sharp,second,dimension_color,0.9900000095367432
16,4,zrdc,sharp,second,dimension_color,0.9800000190734863
16,7,erdc,sharp,first,dimension_color,0.9800000190734863
16,23,erdc,sharp,first,dimension_color,0.949999988079071
16,1,erdc,sharp,first,dimension_color,0.9700000286102295
16,12,erdc,sharp,first,dimension_color,0.9800000190734863
16,20,erdc,sharp,first,dimension_color,0.9599999785423279
16,7,zrdc,sharp,second,dimension_color,0.949999988079071
16,18,brdc,sharp,both,dimension_color,0.9700000286102295
16,26,zrdc,sharp,second,dimension_color,0.9599999785423279
16,15,erdc,sharp,first,dimension_color,0.9599999785423279
16,20,zrdc,sharp,second,dimension_color,0.9700000286102295
16,26,erdc,sharp,first,dimension_color,0.9599999785423279
16,4,erdc,sharp,first,dimension_color,0.9399999976158142
16,1,zrdc,sharp,second,dimension_color,0.05999999865889549
16,1,brdc,sharp,both,dimension_color,0.9599999785423279
16,12,zrdc,sharp,second,dimension_color,0.9700000286102295
16,12,brdc,sharp,both,dimension_color,0.9599999785423279
17,27,erdc,blurred,first,dimension_color,0.07000000029802322
17,24,zrdc,blurred,second,dimension_color,0.03999999910593033
17,8,erdc,blurred,first,dimension_color,0.9800000190734863
17,5,zrdc,blurred,second,dimension_color,0.029999999329447746
17,8,brdc,blurred,both,dimension_color,0.949999988079071
17,21,erdc,blurred,first,dimension_color,0.9800000190734863
17,10,zrdc,blurred,second,dimension_color,0.019999999552965164
17,10,erdc,blurred,first,dimension_color,0.9700000286102295
17,27,brdc,blurred,both,dimension_color,0.949999988079071
17,13,brdc,blurred,both,dimension_color,0.9700000286102295
17,10,brdc,blurred,both,dimension_color,0.9599999785423279
17,16,zrdc,blurred,second,dimension_color,0.05000000074505806
17,24,erdc,blurred,first,dimension_color,0.949999988079071
17,13,zrdc,blurred,second,dimension_color,0.05999999865889549
17,8,zrdc,blurred,second,dimension_color,0.03999999910593033
17,2,zrdc,blurred,second,dimension_color,0.03999999910593033
17,24,brdc,blurred,both,dimension_color,0.9599999785423279
17,21,brdc,blurred,both,dimension_color,0.949999988079071
17,5,brdc,blurred,both,dimension_color,0.03999999910593033
17,16,brdc,blurred,both,dimension_color,0.05000000074505806
17,13,erdc,blurred,first,dimension_color,0.9599999785423279
17,21,zrdc,blurred,second,dimension_color,0.03999999910593033
17,5,erdc,blurred,first,dimension_color,0.9700000286102295
17,2,brdc,blurred,both,dimension_color,0.07000000029802322
17,27,zrdc,blurred,second,dimension_color,0.029999999329447746
17,16,erdc,blurred,first,dimension_color,0.949999988079071
18,12,erdc,sharp,first,dimension_color,0.5
18,4,brdc,sharp,both,dimension_color,0.5
18,7,brdc,sharp,both,dimension_color,0.5
18,23,erdc,sharp,first,dimension_color,0.5
18,20,erdc,sharp,first,dimension_color,0.5
18,26,zrdc,sharp,second,dimension_color,0.5
18,26,brdc,sharp,both,dimension_color,0.5
18,1,erdc,sharp,first,dimension_color,0.5
18,20,zrdc,sharp,second,dimension_color,0.5
18,7,erdc,sharp,first,dimension_color,0.5
18,12,zrdc,sharp,second,dimension_color,0.49000000953674316
18,15,erdc,sharp,first,dimension_color,0.5
18,23,brdc,sharp,both,dimension_color,0.5
18,4,erdc,sharp,first,dimension_color,0.44999998807907104
18,4,zrdc,sharp,second,dimension_color,0.5099999904632568
18,1,brdc,sharp,both,dimension_color,0.5
18,23,zrdc,sharp,second,dimension_color,0.5
18,15,zrdc,sharp,second,dimension_color,0.5
18,15,brdc,sharp,both,dimension_color,0.47999998927116394
18,1,zrdc,sharp,second,dimension_color,0.5
18,26,erdc,sharp,first,dimension_color,0.5
18,18,zrdc,sharp,second,dimension_color,0.5
18,18,erdc,sharp,first,dimension_color,0.5
18,12,brdc,sharp,both,dimension_color,0.5
18,20,brdc,sharp,both,dimension_color,0.5
18,18,brdc,sharp,both,dimension_color,0.5
18,7,zrdc,sharp,second,dimension_color,0.5
19,4,brdc,blurred,both,dimension_color,1.0
19,20,zrdc,blurred,second,dimension_color,1.0
19,4,erdc,blurred,first,dimension_color,1.0
19,15,brdc,blurred,both,dimension_color,1.0
19,18,brdc,blurred,both,dimension_color,1.0
19,1,brdc,blurred,both,dimension_color,1.0
19,23,erdc,blurred,first,dimension_color,1.0
19,15,erdc,blurred,first,dimension_color,1.0
19,23,zrdc,blurred,second,dimension_color,1.0
19,7,erdc,blurred,first,dimension_color,1.0
19,4,zrdc,blurred,second,dimension_color,1.0
19,1,erdc,blurred,first,dimension_color,1.0
19,26,brdc,blurred,both,dimension_color,1.0
19,15,zrdc,blurred,second,dimension_color,1.0
19,23,brdc,blurred,both,dimension_color,1.0
19,26,erdc,blurred,first,dimension_color,1.0
19,12,brdc,blurred,both,dimension_color,1.0
19,12,zrdc,blurred,second,dimension_color,1.0
19,12,erdc,blurred,first,dimension_color,1.0
19,26,zrdc,blurred,second,dimension_color,1.0
19,18,erdc,blurred,first,dimension_color,0.0
19,7,zrdc,blurred,second,dimension_color,1.0
19,20,brdc,blurred,both,dimension_color,1.0
19,18,zrdc,blurred,second,dimension_color,1.0
19,20,erdc,blurred,first,dimension_color,1.0
19,7,brdc,blurred,both,dimension_color,1.0
19,1,zrdc,blurred,second,dimension_color,1.0
20,8,zrdc,blurred,second,dimension_color,1.0
20,27,brdc,blurred,both,dimension_color,1.0
20,8,brdc,blurred,both,dimension_color,0.0
20,16,zrdc,blurred,second,dimension_color,0.019999999552965164
20,13,zrdc,blurred,second,dimension_color,0.0
20,16,brdc,blurred,both,dimension_color,0.0
20,10,brdc,blurred,both,dimension_color,0.9200000166893005
20,2,erdc,blurred,first,dimension_color,0.49000000953674316
20,10,zrdc,blurred,second,dimension_color,0.0
20,21,brdc,blurred,both,dimension_color,0.5
20,21,zrdc,blurred,second,dimension_color,0.0
20,13,brdc,blurred,both,dimension_color,0.5
20,21,erdc,blurred,first,dimension_color,1.0
20,2,zrdc,blurred,second,dimension_color,0.0
20,16,erdc,blurred,first,dimension_color,0.949999988079071
20,5,zrdc,blurred,second,dimension_color,0.0
20,24,brdc,blurred,both,dimension_color,0.5
20,24,zrdc,blurred,second,dimension_color,0.0
20,5,brdc,blurred,both,dimension_color,0.550000011920929
20,24,erdc,blurred,first,dimension_color,0.8799999952316284
20,5,erdc,blurred,first,dimension_color,1.0
20,13,erdc,blurred,first,dimension_color,1.0
20,27,zrdc,blurred,second,dimension_color,0.0
20,10,erdc,blurred,first,dimension_color,1.0
20,8,erdc,blurred,first,dimension_color,1.0
21,6,erdc,blurred,first,dimension_color,1.0
21,14,erdc,blurred,first,dimension_color,1.0
21,22,brdc,blurred,both,dimension_color,1.0
21,25,zrdc,blurred,second,dimension_color,1.0
21,25,brdc,blurred,both,dimension_color,1.0
21,19,brdc,blurred,both,dimension_color,1.0
21,22,zrdc,blurred,second,dimension_color,1.0
21,3,zrdc,blurred,second,dimension_color,0.0
21,17,zrdc,blurred,second,dimension_color,1.0
21,9,zrdc,blurred,second,dimension_color,1.0
21,9,brdc,blurred,both,dimension_color,1.0
21,9,erdc,blurred,first,dimension_color,1.0
