item,conditions,list,trials,size_A,size_B,size_C,size_D,size_E,size_F,color_A,color_B,color_C,color_D,color_E,color_F,form_A,form_B,form_C,form_D,form_E,form_F,sharpness,prefer_first_1st,combination,relevant_property
1,zrdf,5.0,9.0,10.0,10.0,9.0,9.0,9.0,6.0,blue,brown,grey,orange,black,brown,triangle,diamond,diamond,diamond,diamond,diamond,blurred,98,dimension_form,second
2,zrdc,5.0,8.0,10.0,9.0,9.0,10.0,10.0,6.0,brown,grey,grey,grey,grey,grey,diamond,diamond,heart,triangle,quadrat,triangle,blurred,2,dimension_color,second
27,zrdc,5.0,8.0,10.0,9.0,9.0,10.0,9.0,6.0,brown,green,green,green,green,green,diamond,star,circle,star,quadrat,heart,blurred,97,dimension_color,second
11,ercf,5.0,4.0,10.0,9.0,1.0,9.0,3.0,1.0,grey,brown,brown,brown,brown,brown,circle,circle,circle,circle,circle,quadrat,blurred,99,color_form,first
13,brdc,5.0,2.0,9.0,10.0,1.0,6.0,9.0,6.0,brown,orange,brown,brown,orange,orange,quadrat,diamond,diamond,diamond,circle,circle,blurred,98,dimension_color,both
6,zrcf,5.0,7.0,3.0,3.0,10.0,2.0,3.0,3.0,green,green,green,green,green,blue,heart,triangle,triangle,triangle,triangle,triangle,blurred,98,color_form,second
27,brdc,5.0,2.0,10.0,10.0,1.0,6.0,10.0,5.0,brown,green,brown,brown,green,green,diamond,quadrat,triangle,heart,diamond,quadrat,blurred,98,dimension_color,both
18,zrdf,5.0,9.0,9.0,9.0,9.0,9.0,10.0,6.0,blue,grey,brown,brown,brown,green,circle,heart,heart,heart,heart,heart,blurred,2,dimension_form,second
4,erdf,5.0,6.0,9.0,2.0,1.0,5.0,6.0,1.0,orange,brown,orange,brown,orange,orange,circle,circle,circle,circle,circle,diamond,blurred,-1,dimension_form,first
21,brdc,5.0,2.0,10.0,9.0,5.0,4.0,10.0,3.0,black,green,black,black,green,green,triangle,triangle,diamond,heart,quadrat,star,blurred,1,dimension_color,both
5,erdc,5.0,5.0,10.0,3.0,4.0,6.0,2.0,1.0,grey,grey,grey,grey,grey,black,diamond,heart,circle,star,diamond,diamond,blurred,98,dimension_color,first
2,erdc,5.0,5.0,10.0,3.0,1.0,3.0,6.0,1.0,brown,brown,brown,brown,brown,grey,quadrat,triangle,diamond,heart,circle,star,blurred,99,dimension_color,first
17,ercf,5.0,4.0,10.0,1.0,9.0,3.0,10.0,10.0,black,orange,orange,orange,orange,orange,star,star,star,star,star,diamond,blurred,99,color_form,first
15,zrdf,5.0,9.0,10.0,9.0,10.0,9.0,10.0,2.0,blue,brown,orange,green,green,green,heart,triangle,triangle,triangle,triangle,triangle,blurred,99,dimension_form,second
24,brdc,5.0,2.0,10.0,10.0,3.0,4.0,9.0,2.0,green,blue,green,green,blue,blue,diamond,triangle,triangle,quadrat,quadrat,star,blurred,99,dimension_color,both
20,erdf,5.0,6.0,10.0,6.0,6.0,5.0,6.0,1.0,green,brown,green,grey,black,grey,quadrat,quadrat,quadrat,quadrat,quadrat,circle,blurred,-1,dimension_form,first
21,erdc,5.0,5.0,9.0,6.0,6.0,4.0,1.0,1.0,green,green,green,green,green,black,star,heart,quadrat,diamond,heart,triangle,blurred,99,dimension_color,first
16,zrdc,5.0,8.0,9.0,10.0,10.0,10.0,10.0,4.0,grey,blue,blue,blue,blue,blue,triangle,quadrat,circle,heart,triangle,quadrat,blurred,98,dimension_color,second
19,brcf,5.0,1.0,10.0,3.0,1.0,2.0,9.0,3.0,blue,blue,orange,orange,blue,orange,diamond,triangle,diamond,diamond,triangle,triangle,blurred,100,color_form,both
18,erdf,5.0,6.0,9.0,1.0,6.0,1.0,2.0,3.0,green,green,grey,grey,black,green,circle,circle,circle,circle,circle,heart,blurred,-1,dimension_form,first
14,brcf,5.0,1.0,1.0,3.0,2.0,3.0,3.0,10.0,black,black,grey,grey,black,grey,quadrat,star,quadrat,quadrat,star,star,blurred,1,color_form,both
25,zrcf,5.0,7.0,3.0,10.0,2.0,1.0,3.0,1.0,grey,grey,grey,grey,grey,blue,quadrat,triangle,triangle,triangle,triangle,triangle,blurred,99,color_form,second
3,ercf,5.0,4.0,10.0,2.0,1.0,9.0,10.0,9.0,black,green,green,green,green,green,star,star,star,star,star,heart,blurred,98,color_form,first
4,zrdf,5.0,9.0,10.0,10.0,10.0,9.0,9.0,2.0,green,brown,blue,brown,blue,grey,circle,diamond,diamond,diamond,diamond,diamond,blurred,96,dimension_form,second
11,brcf,5.0,1.0,3.0,1.0,2.0,2.0,10.0,2.0,grey,grey,brown,brown,grey,brown,circle,quadrat,circle,circle,quadrat,quadrat,blurred,99,color_form,both
19,ercf,5.0,4.0,10.0,2.0,1.0,3.0,10.0,2.0,blue,orange,orange,orange,orange,orange,diamond,diamond,diamond,diamond,diamond,triangle,blurred,98,color_form,first
15,erdf,5.0,6.0,10.0,5.0,2.0,1.0,6.0,2.0,grey,green,green,orange,green,blue,heart,heart,heart,heart,heart,triangle,blurred,99,dimension_form,first
24,erdc,5.0,5.0,10.0,1.0,1.0,5.0,5.0,4.0,blue,blue,blue,blue,blue,green,circle,diamond,circle,triangle,circle,quadrat,blurred,1,dimension_color,first
21,zrdc,5.0,8.0,9.0,10.0,10.0,9.0,10.0,3.0,black,green,green,green,green,green,quadrat,diamond,diamond,star,quadrat,circle,blurred,98,dimension_color,second
1,brdf,5.0,3.0,10.0,9.0,3.0,1.0,9.0,2.0,black,brown,blue,blue,green,black,triangle,diamond,triangle,triangle,diamond,diamond,blurred,99,dimension_form,both
6,brcf,5.0,1.0,10.0,10.0,2.0,3.0,9.0,9.0,green,green,blue,blue,green,blue,heart,triangle,heart,heart,triangle,triangle,blurred,98,color_form,both
9,zrcf,5.0,7.0,1.0,2.0,3.0,2.0,1.0,9.0,brown,brown,brown,brown,brown,green,circle,heart,heart,heart,heart,heart,blurred,3,color_form,second
23,erdf,5.0,6.0,9.0,2.0,2.0,6.0,5.0,2.0,brown,blue,grey,grey,grey,black,star,star,star,star,star,quadrat,blurred,97,dimension_form,first
10,erdc,5.0,5.0,10.0,6.0,5.0,3.0,2.0,3.0,orange,orange,orange,orange,orange,blue,triangle,quadrat,quadrat,diamond,quadrat,heart,blurred,98,dimension_color,first
17,brcf,5.0,1.0,9.0,10.0,10.0,3.0,10.0,10.0,black,black,orange,orange,black,orange,star,diamond,star,star,diamond,diamond,blurred,98,color_form,both
4,brdf,5.0,3.0,9.0,10.0,1.0,3.0,9.0,5.0,orange,brown,brown,blue,black,blue,circle,diamond,circle,circle,diamond,diamond,blurred,99,dimension_form,both
11,zrcf,5.0,7.0,10.0,10.0,2.0,3.0,1.0,1.0,grey,grey,grey,grey,grey,brown,circle,quadrat,quadrat,quadrat,quadrat,quadrat,blurred,97,color_form,second
3,zrcf,5.0,7.0,9.0,9.0,3.0,3.0,3.0,3.0,black,black,black,black,black,green,star,heart,heart,heart,heart,heart,blurred,97,color_form,second
12,erdf,5.0,6.0,10.0,1.0,2.0,4.0,1.0,4.0,grey,brown,black,grey,blue,orange,star,star,star,star,star,heart,blurred,3,dimension_form,first
26,zrdf,5.0,9.0,9.0,10.0,9.0,9.0,9.0,2.0,green,brown,brown,blue,orange,black,diamond,star,star,star,star,star,blurred,100,dimension_form,second
14,ercf,5.0,4.0,9.0,10.0,3.0,9.0,2.0,1.0,black,grey,grey,grey,grey,grey,quadrat,quadrat,quadrat,quadrat,quadrat,star,blurred,99,color_form,first
23,brdf,5.0,3.0,9.0,10.0,5.0,2.0,9.0,4.0,brown,green,grey,orange,grey,black,star,quadrat,star,star,quadrat,quadrat,blurred,99,dimension_form,both
14,zrcf,5.0,7.0,2.0,1.0,1.0,9.0,3.0,9.0,black,black,black,black,black,grey,quadrat,star,star,star,star,star,blurred,99,color_form,second
25,ercf,5.0,4.0,2.0,1.0,10.0,3.0,2.0,3.0,blue,grey,grey,grey,grey,grey,quadrat,quadrat,quadrat,quadrat,quadrat,triangle,blurred,98,color_form,first
5,zrdc,5.0,8.0,9.0,10.0,10.0,9.0,10.0,5.0,grey,black,black,black,black,black,star,quadrat,star,triangle,heart,diamond,blurred,99,dimension_color,second
8,brdc,5.0,2.0,10.0,9.0,3.0,5.0,10.0,5.0,orange,black,orange,orange,black,black,diamond,quadrat,quadrat,quadrat,circle,quadrat,blurred,99,dimension_color,both
13,zrdc,5.0,8.0,10.0,10.0,10.0,9.0,9.0,3.0,brown,orange,orange,orange,orange,orange,circle,quadrat,heart,quadrat,heart,diamond,blurred,98,dimension_color,second
24,zrdc,5.0,8.0,10.0,10.0,9.0,9.0,10.0,6.0,green,blue,blue,blue,blue,blue,quadrat,circle,circle,star,quadrat,quadrat,blurred,97,dimension_color,second
6,ercf,5.0,4.0,1.0,10.0,1.0,3.0,9.0,10.0,green,blue,blue,blue,blue,blue,heart,heart,heart,heart,heart,triangle,blurred,99,color_form,first
7,erdf,5.0,6.0,9.0,4.0,2.0,2.0,4.0,2.0,black,grey,black,black,blue,grey,triangle,triangle,triangle,triangle,triangle,quadrat,blurred,98,dimension_form,first
16,erdc,5.0,5.0,10.0,3.0,3.0,5.0,4.0,2.0,grey,grey,grey,grey,grey,blue,triangle,heart,circle,diamond,heart,quadrat,blurred,96,dimension_color,first
3,brcf,5.0,1.0,10.0,10.0,10.0,1.0,2.0,2.0,black,black,green,green,black,green,star,heart,star,star,heart,heart,blurred,99,color_form,both
17,zrcf,5.0,7.0,3.0,2.0,3.0,2.0,10.0,10.0,black,black,black,black,black,orange,star,diamond,diamond,diamond,diamond,diamond,blurred,97,color_form,second
7,zrdf,5.0,9.0,9.0,10.0,9.0,10.0,9.0,3.0,blue,black,orange,orange,green,grey,triangle,quadrat,quadrat,quadrat,quadrat,quadrat,blurred,99,dimension_form,second
23,zrdf,5.0,9.0,9.0,9.0,9.0,9.0,9.0,5.0,blue,green,green,green,blue,brown,star,quadrat,quadrat,quadrat,quadrat,quadrat,blurred,97,dimension_form,second
22,brcf,5.0,1.0,9.0,10.0,9.0,3.0,3.0,9.0,orange,orange,brown,brown,orange,brown,diamond,circle,diamond,diamond,circle,circle,blurred,99,color_form,both
20,brdf,5.0,3.0,10.0,9.0,4.0,2.0,9.0,6.0,orange,orange,grey,blue,orange,brown,quadrat,circle,quadrat,quadrat,circle,circle,blurred,99,dimension_form,both
26,erdf,5.0,6.0,10.0,4.0,4.0,5.0,4.0,1.0,black,orange,black,brown,grey,grey,diamond,diamond,diamond,diamond,diamond,star,blurred,98,dimension_form,first
22,ercf,5.0,4.0,9.0,9.0,3.0,2.0,1.0,2.0,orange,brown,brown,brown,brown,brown,diamond,diamond,diamond,diamond,diamond,circle,blurred,97,color_form,first
25,brcf,5.0,1.0,2.0,10.0,2.0,1.0,9.0,10.0,blue,blue,grey,grey,blue,grey,quadrat,triangle,quadrat,quadrat,triangle,triangle,blurred,97,color_form,both
8,erdc,5.0,5.0,10.0,2.0,5.0,3.0,2.0,3.0,orange,orange,orange,orange,orange,black,diamond,quadrat,star,heart,quadrat,diamond,blurred,99,dimension_color,first
2,brdc,5.0,2.0,9.0,9.0,4.0,3.0,10.0,2.0,brown,grey,brown,brown,grey,grey,circle,quadrat,star,heart,circle,circle,blurred,99,dimension_color,both
27,erdc,5.0,5.0,9.0,2.0,5.0,5.0,2.0,1.0,green,green,green,green,green,brown,heart,star,diamond,circle,quadrat,quadrat,blurred,99,dimension_color,first
9,brcf,5.0,1.0,3.0,10.0,10.0,2.0,2.0,9.0,brown,brown,green,green,brown,green,circle,heart,circle,circle,heart,heart,blurred,2,color_form,both
5,brdc,5.0,2.0,9.0,9.0,5.0,2.0,9.0,5.0,grey,black,grey,grey,black,black,quadrat,triangle,quadrat,star,heart,heart,blurred,-1,dimension_color,both
15,brdf,5.0,3.0,10.0,9.0,1.0,4.0,10.0,1.0,orange,orange,black,green,green,black,heart,triangle,heart,heart,triangle,triangle,blurred,98,dimension_form,both
12,zrdc,4.0,8.0,10.0,9.0,9.0,9.0,9.0,1.0,green,black,black,black,black,black,star,circle,heart,quadrat,heart,diamond,blurred,1,dimension_color,second
26,brdc,4.0,2.0,9.0,9.0,3.0,2.0,10.0,6.0,orange,black,orange,orange,black,black,quadrat,heart,quadrat,heart,quadrat,quadrat,blurred,98,dimension_color,both
4,brdc,4.0,2.0,9.0,10.0,1.0,3.0,9.0,5.0,orange,brown,orange,orange,brown,brown,star,quadrat,star,quadrat,quadrat,diamond,blurred,99,dimension_color,both
4,erdc,4.0,5.0,9.0,2.0,1.0,5.0,6.0,1.0,orange,orange,orange,orange,orange,brown,star,circle,quadrat,circle,diamond,quadrat,blurred,98,dimension_color,first
25,erdf,4.0,6.0,9.0,6.0,2.0,2.0,5.0,6.0,orange,brown,orange,green,orange,grey,quadrat,quadrat,quadrat,quadrat,quadrat,triangle,blurred,98,dimension_form,first
21,ercf,4.0,4.0,3.0,3.0,1.0,3.0,9.0,10.0,black,green,green,green,green,green,heart,heart,heart,heart,heart,star,blurred,98,color_form,first
22,erdf,4.0,6.0,10.0,1.0,5.0,6.0,3.0,6.0,grey,blue,blue,green,grey,green,diamond,diamond,diamond,diamond,diamond,circle,blurred,98,dimension_form,first
15,erdc,4.0,5.0,10.0,5.0,2.0,1.0,6.0,2.0,blue,blue,blue,blue,blue,green,star,triangle,star,quadrat,star,triangle,blurred,78,dimension_color,first
14,erdf,4.0,6.0,10.0,6.0,2.0,4.0,4.0,2.0,blue,brown,black,green,grey,grey,quadrat,quadrat,quadrat,quadrat,quadrat,star,blurred,-1,dimension_form,first
17,zrdf,4.0,9.0,10.0,9.0,10.0,9.0,10.0,2.0,brown,orange,blue,orange,blue,green,star,diamond,diamond,diamond,diamond,diamond,blurred,41,dimension_form,second
1,brdc,4.0,2.0,10.0,9.0,3.0,1.0,9.0,2.0,blue,orange,blue,blue,orange,orange,quadrat,triangle,circle,circle,diamond,diamond,blurred,50,dimension_color,both
19,zrdf,4.0,9.0,10.0,9.0,9.0,10.0,10.0,1.0,grey,blue,green,grey,grey,black,diamond,triangle,triangle,triangle,triangle,triangle,blurred,53,dimension_form,second
16,ercf,4.0,4.0,10.0,1.0,3.0,10.0,3.0,1.0,grey,blue,blue,blue,blue,blue,triangle,triangle,triangle,triangle,triangle,quadrat,blurred,98,color_form,first
12,brdc,4.0,2.0,10.0,9.0,3.0,4.0,9.0,1.0,green,black,green,green,black,black,circle,circle,quadrat,diamond,quadrat,quadrat,blurred,50,dimension_color,both
6,brdf,4.0,3.0,10.0,9.0,1.0,6.0,9.0,4.0,grey,green,brown,brown,grey,brown,heart,triangle,heart,heart,triangle,triangle,blurred,50,dimension_form,both
10,zrcf,4.0,7.0,9.0,3.0,9.0,9.0,2.0,1.0,orange,orange,orange,orange,orange,blue,triangle,diamond,diamond,diamond,diamond,diamond,blurred,3,color_form,second
27,brcf,4.0,1.0,3.0,1.0,1.0,10.0,1.0,1.0,brown,brown,green,green,brown,green,heart,circle,heart,heart,circle,circle,blurred,50,color_form,both
24,brcf,4.0,1.0,1.0,1.0,2.0,1.0,9.0,2.0,green,green,blue,blue,green,blue,triangle,heart,triangle,triangle,heart,heart,blurred,50,color_form,both
17,erdf,4.0,6.0,9.0,3.0,4.0,6.0,6.0,3.0,green,blue,brown,blue,orange,grey,star,star,star,star,star,diamond,blurred,50,dimension_form,first
20,zrdc,4.0,8.0,9.0,9.0,9.0,9.0,10.0,3.0,brown,grey,grey,grey,grey,grey,diamond,triangle,heart,heart,quadrat,heart,blurred,66,dimension_color,second
8,zrcf,4.0,7.0,3.0,2.0,10.0,9.0,10.0,9.0,orange,orange,orange,orange,orange,black,star,diamond,diamond,diamond,diamond,diamond,blurred,73,color_form,second
2,zrcf,4.0,7.0,10.0,10.0,1.0,10.0,9.0,2.0,brown,brown,brown,brown,brown,grey,circle,quadrat,quadrat,quadrat,quadrat,quadrat,blurred,21,color_form,second
2,brcf,4.0,1.0,10.0,2.0,3.0,1.0,1.0,3.0,brown,brown,grey,grey,brown,grey,circle,quadrat,circle,circle,quadrat,quadrat,blurred,50,color_form,both
11,erdf,4.0,6.0,9.0,1.0,4.0,6.0,4.0,6.0,grey,green,blue,green,orange,orange,circle,circle,circle,circle,circle,quadrat,blurred,98,dimension_form,first
18,erdc,4.0,5.0,9.0,1.0,6.0,1.0,2.0,3.0,green,green,green,green,green,brown,triangle,star,heart,circle,quadrat,quadrat,blurred,50,dimension_color,first
23,brdc,4.0,2.0,9.0,10.0,5.0,2.0,9.0,4.0,grey,black,grey,grey,black,black,star,diamond,quadrat,circle,star,quadrat,blurred,71,dimension_color,both
13,ercf,4.0,4.0,1.0,1.0,2.0,3.0,1.0,9.0,brown,orange,orange,orange,orange,orange,circle,circle,circle,circle,circle,diamond,blurred,50,color_form,first
16,brcf,4.0,1.0,2.0,9.0,3.0,10.0,2.0,10.0,grey,grey,blue,blue,grey,blue,triangle,quadrat,triangle,triangle,quadrat,quadrat,blurred,83,color_form,both
17,brdf,4.0,3.0,10.0,10.0,1.0,6.0,10.0,5.0,blue,blue,brown,black,orange,grey,star,diamond,star,star,diamond,diamond,blurred,50,dimension_form,both
24,zrcf,4.0,7.0,10.0,2.0,10.0,1.0,1.0,9.0,blue,blue,blue,blue,blue,green,triangle,heart,heart,heart,heart,heart,blurred,50,color_form,second
7,erdc,4.0,5.0,9.0,4.0,2.0,2.0,4.0,2.0,blue,blue,blue,blue,blue,grey,diamond,circle,diamond,diamond,circle,quadrat,blurred,50,dimension_color,first
23,erdc,4.0,5.0,9.0,2.0,2.0,6.0,5.0,2.0,black,black,black,black,black,grey,triangle,circle,circle,quadrat,quadrat,quadrat,blurred,98,dimension_color,first
3,zrdf,4.0,9.0,9.0,9.0,9.0,10.0,10.0,5.0,brown,black,black,orange,green,orange,star,heart,heart,heart,heart,heart,blurred,37,dimension_form,second
6,zrdf,4.0,9.0,9.0,9.0,9.0,9.0,10.0,1.0,orange,orange,grey,grey,black,blue,heart,triangle,triangle,triangle,triangle,triangle,blurred,50,dimension_form,second
2,ercf,4.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,brown,grey,grey,grey,grey,grey,circle,circle,circle,circle,circle,quadrat,blurred,4,color_form,first
14,zrdf,4.0,9.0,9.0,9.0,10.0,10.0,10.0,6.0,green,orange,orange,blue,brown,brown,quadrat,star,star,star,star,star,blurred,50,dimension_form,second
25,brdf,4.0,3.0,10.0,9.0,3.0,4.0,9.0,5.0,orange,green,black,blue,green,brown,quadrat,triangle,quadrat,quadrat,triangle,triangle,blurred,91,dimension_form,both
22,brdf,4.0,3.0,10.0,9.0,2.0,6.0,9.0,5.0,black,orange,black,green,brown,orange,diamond,circle,diamond,diamond,circle,circle,blurred,50,dimension_form,both
5,zrcf,4.0,7.0,9.0,1.0,2.0,9.0,9.0,1.0,grey,grey,grey,grey,grey,black,quadrat,star,star,star,star,star,blurred,50,color_form,second
15,brdc,4.0,2.0,10.0,9.0,1.0,4.0,10.0,1.0,blue,green,blue,blue,green,green,triangle,star,quadrat,quadrat,quadrat,quadrat,blurred,50,dimension_color,both
8,brcf,4.0,1.0,9.0,2.0,9.0,10.0,2.0,10.0,orange,orange,black,black,orange,black,star,diamond,star,star,diamond,diamond,blurred,22,color_form,both
27,zrcf,4.0,7.0,9.0,9.0,10.0,9.0,9.0,9.0,green,green,green,green,green,brown,heart,circle,circle,circle,circle,circle,blurred,50,color_form,second
14,brdf,4.0,3.0,9.0,9.0,6.0,3.0,10.0,6.0,black,grey,blue,orange,orange,black,quadrat,star,quadrat,quadrat,star,star,blurred,67,dimension_form,both
25,zrdf,4.0,9.0,10.0,10.0,10.0,9.0,10.0,3.0,grey,green,green,brown,orange,brown,quadrat,triangle,triangle,triangle,triangle,triangle,blurred,39,dimension_form,second
7,brdc,4.0,2.0,10.0,10.0,3.0,5.0,10.0,4.0,blue,grey,blue,blue,grey,grey,heart,quadrat,diamond,circle,quadrat,heart,blurred,75,dimension_color,both
26,zrdc,4.0,8.0,9.0,10.0,9.0,9.0,9.0,2.0,orange,black,black,black,black,black,heart,quadrat,diamond,quadrat,quadrat,triangle,blurred,50,dimension_color,second
11,brdf,4.0,3.0,9.0,9.0,1.0,5.0,9.0,5.0,orange,black,blue,green,blue,brown,circle,quadrat,circle,circle,quadrat,quadrat,blurred,50,dimension_form,both
1,zrdc,4.0,8.0,10.0,10.0,9.0,9.0,9.0,6.0,blue,orange,orange,orange,orange,orange,circle,quadrat,star,diamond,star,heart,blurred,14,dimension_color,second
13,zrcf,4.0,7.0,2.0,1.0,9.0,9.0,2.0,10.0,brown,brown,brown,brown,brown,orange,circle,diamond,diamond,diamond,diamond,diamond,blurred,14,color_form,second
16,zrcf,4.0,7.0,10.0,3.0,9.0,3.0,9.0,3.0,grey,grey,grey,grey,grey,blue,triangle,quadrat,quadrat,quadrat,quadrat,quadrat,blurred,10,color_form,second
8,ercf,4.0,4.0,3.0,9.0,2.0,1.0,10.0,10.0,orange,black,black,black,black,black,star,star,star,star,star,diamond,blurred,95,color_form,first
24,ercf,4.0,4.0,1.0,9.0,3.0,2.0,9.0,9.0,green,blue,blue,blue,blue,blue,triangle,triangle,triangle,triangle,triangle,heart,blurred,87,color_form,first
18,zrdc,4.0,8.0,9.0,9.0,9.0,9.0,10.0,6.0,green,brown,brown,brown,brown,brown,diamond,quadrat,star,quadrat,quadrat,heart,blurred,15,dimension_color,second
4,zrdc,4.0,8.0,10.0,10.0,10.0,9.0,9.0,2.0,orange,brown,brown,brown,brown,brown,triangle,diamond,quadrat,circle,quadrat,star,blurred,24,dimension_color,second
12,erdc,4.0,5.0,10.0,1.0,2.0,4.0,1.0,4.0,green,green,green,green,green,black,quadrat,heart,heart,star,quadrat,diamond,blurred,81,dimension_color,first
1,erdc,4.0,5.0,10.0,4.0,4.0,2.0,2.0,5.0,blue,blue,blue,blue,blue,orange,star,quadrat,triangle,star,heart,diamond,blurred,67,dimension_color,first
18,brdc,4.0,2.0,10.0,9.0,2.0,3.0,10.0,4.0,green,brown,green,green,brown,brown,quadrat,diamond,heart,diamond,star,diamond,blurred,15,dimension_color,both
27,ercf,4.0,4.0,9.0,10.0,10.0,10.0,3.0,9.0,brown,green,green,green,green,green,heart,heart,heart,heart,heart,circle,blurred,70,color_form,first
11,zrdf,4.0,9.0,9.0,10.0,10.0,10.0,10.0,6.0,grey,brown,grey,grey,black,grey,circle,quadrat,quadrat,quadrat,quadrat,quadrat,blurred,19,dimension_form,second
9,erdf,4.0,6.0,9.0,4.0,1.0,6.0,6.0,5.0,green,green,grey,black,grey,green,circle,circle,circle,circle,circle,heart,blurred,-1,dimension_form,first
10,ercf,4.0,4.0,2.0,3.0,2.0,9.0,9.0,1.0,orange,blue,blue,blue,blue,blue,triangle,triangle,triangle,triangle,triangle,diamond,blurred,87,color_form,first
19,erdf,4.0,6.0,9.0,1.0,6.0,5.0,1.0,2.0,green,blue,green,green,grey,brown,diamond,diamond,diamond,diamond,diamond,triangle,blurred,89,dimension_form,first
5,ercf,4.0,4.0,3.0,10.0,10.0,2.0,2.0,1.0,grey,black,black,black,black,black,quadrat,quadrat,quadrat,quadrat,quadrat,star,blurred,81,color_form,first
9,zrdf,4.0,9.0,10.0,10.0,9.0,10.0,9.0,1.0,orange,black,brown,blue,green,grey,circle,heart,heart,heart,heart,heart,blurred,13,dimension_form,second
21,zrcf,4.0,7.0,10.0,9.0,2.0,10.0,2.0,10.0,green,green,green,green,green,black,heart,star,star,star,star,star,blurred,10,color_form,second
13,brcf,4.0,1.0,3.0,9.0,1.0,3.0,9.0,2.0,brown,brown,orange,orange,brown,orange,circle,diamond,circle,circle,diamond,diamond,blurred,11,color_form,both
23,zrdc,4.0,8.0,9.0,9.0,9.0,9.0,9.0,5.0,grey,black,black,black,black,black,circle,diamond,quadrat,quadrat,triangle,diamond,blurred,8,dimension_color,second
5,brcf,4.0,1.0,10.0,2.0,2.0,10.0,9.0,3.0,grey,grey,black,black,grey,black,quadrat,star,quadrat,quadrat,star,star,blurred,50,color_form,both
26,erdc,4.0,5.0,10.0,4.0,4.0,5.0,4.0,1.0,black,black,black,black,black,orange,quadrat,quadrat,quadrat,heart,quadrat,heart,blurred,91,dimension_color,first
15,zrdc,4.0,8.0,10.0,9.0,10.0,9.0,10.0,2.0,blue,green,green,green,green,green,star,quadrat,heart,triangle,heart,heart,blurred,50,dimension_color,second
3,erdf,4.0,6.0,10.0,2.0,3.0,4.0,2.0,4.0,grey,orange,green,grey,blue,black,star,star,star,star,star,heart,blurred,68,dimension_form,first
6,erdf,4.0,6.0,10.0,1.0,1.0,4.0,1.0,3.0,black,grey,orange,black,orange,green,heart,heart,heart,heart,heart,triangle,blurred,78,dimension_form,first
10,brcf,4.0,1.0,1.0,10.0,1.0,2.0,3.0,9.0,orange,orange,blue,blue,orange,blue,triangle,diamond,triangle,triangle,diamond,diamond,blurred,50,color_form,both
