canonical_row_position,id,item,conditions,list,annotation,trials,size_A,size_B,size_C,size_D,size_E,size_F,color_A,color_B,color_C,color_D,color_E,color_F,form_A,form_B,form_C,form_D,form_E,form_F,sharpness,combination,relevant_property,stimulus_row_index,trials_raw_stimulus,D,C,F,noun,sharpness_raw_stimulus
35,1,2,brcf,1,CF,1,10,9,9,2,2,1,brown,brown,grey,grey,brown,grey,circle,quadrat,circle,circle,quadrat,quadrat,sharp,color_form,both,27,1,,BR-CD,BR-CD,Aufkleber,sharp
36,1,20,zrdc,1,C,8,10,10,10,10,10,1,brown,grey,grey,grey,grey,grey,triangle,diamond,triangle,star,heart,quadrat,sharp,dimension_color,second,52,8,NR-B,R-CD,,Aufkleber,sharp
37,1,26,erdc,1,D,5,10,3,1,3,1,3,black,black,black,black,black,orange,diamond,star,heart,quadrat,diamond,triangle,sharp,dimension_color,first,211,5,R-B,NR-EB,,Aufkleber,sharp
38,1,18,brdc,1,DC,2,9,10,2,1,9,1,green,brown,green,green,brown,brown,heart,triangle,heart,quadrat,quadrat,heart,sharp,dimension_color,both,226,2,BR-B,BR-FC,,Aufkleber,sharp
39,1,20,brdc,1,CF,2,9,9,1,3,10,3,brown,grey,brown,brown,grey,grey,circle,diamond,quadrat,quadrat,heart,star,sharp,dimension_color,both,46,2,BR-B,BR-CD,,Aufkleber,sharp
40,1,25,zrdf,1,F,9,10,10,9,10,9,3,blue,grey,black,green,green,green,quadrat,triangle,triangle,triangle,triangle,triangle,sharp,dimension_form,second,188,9,NR-A,,R-DA,Aufkleber,sharp
41,1,26,brdc,1,DC,2,9,10,1,1,10,1,orange,black,orange,orange,black,black,triangle,diamond,circle,quadrat,star,circle,sharp,dimension_color,both,208,2,BR-B,BR-BE,,Aufkleber,sharp
42,1,11,erdf,1,DC,6,10,1,2,2,3,1,blue,grey,orange,brown,orange,grey,circle,circle,circle,circle,circle,quadrat,sharp,dimension_form,first,41,6,R-A,,NR-CD,Aufkleber,sharp
43,1,20,erdc,1,F,5,9,2,3,2,2,3,grey,grey,grey,grey,grey,brown,quadrat,quadrat,quadrat,quadrat,diamond,triangle,sharp,dimension_color,first,49,5,R-B,NR-DC,,Aufkleber,sharp
44,1,24,brcf,1,DC,1,1,9,9,10,9,9,green,green,blue,blue,green,blue,triangle,heart,triangle,triangle,heart,heart,sharp,color_form,both,153,1,,BR-FA,BR-AF,Aufkleber,sharp
45,1,8,ercf,1,D,4,3,2,10,1,1,3,orange,black,black,black,black,black,star,star,star,star,star,diamond,sharp,color_form,first,192,4,,R-BE,NR-BE,Aufkleber,sharp
46,1,17,zrdf,1,F,9,9,10,9,9,9,1,black,brown,black,brown,blue,brown,star,diamond,diamond,diamond,diamond,diamond,sharp,dimension_form,second,206,9,NR-A,,R-BE,Aufkleber,sharp
47,1,25,erdf,1,D,6,9,2,2,2,2,3,black,orange,orange,black,grey,grey,quadrat,quadrat,quadrat,quadrat,quadrat,triangle,sharp,dimension_form,first,185,6,R-A,,NR-DA,Aufkleber,sharp
48,1,10,ercf,1,C,4,1,2,3,3,9,3,orange,blue,blue,blue,blue,blue,triangle,triangle,triangle,triangle,triangle,diamond,sharp,color_form,first,12,4,,R-BA,NR-AB,Aufkleber,sharp
49,1,22,brdf,1,CF,3,9,9,1,1,10,3,green,black,brown,black,black,orange,diamond,circle,diamond,diamond,circle,circle,sharp,dimension_form,both,101,3,BR-A,,BR-CB,Aufkleber,sharp
50,1,14,zrdf,1,F,9,9,9,9,10,9,2,black,green,brown,brown,grey,grey,quadrat,star,star,star,star,star,sharp,dimension_form,second,125,9,NR-A,,R-DE,Aufkleber,sharp
51,1,2,ercf,1,C,4,1,9,1,9,10,1,brown,grey,grey,grey,grey,grey,circle,circle,circle,circle,circle,quadrat,sharp,color_form,first,30,4,,R-CD,NR-CD,Aufkleber,sharp
52,1,16,zrcf,1,F,7,10,10,10,3,1,2,grey,grey,grey,grey,grey,blue,triangle,quadrat,quadrat,quadrat,quadrat,quadrat,sharp,color_form,second,177,7,,NR-DA,R-AD,Aufkleber,sharp
53,1,15,brdc,1,F,2,10,10,3,3,10,3,blue,green,blue,blue,green,green,triangle,star,diamond,circle,heart,quadrat,sharp,dimension_color,both,145,2,BR-B,BR-AF,,Aufkleber,sharp
54,1,19,erdf,1,D,6,10,1,3,2,2,1,green,blue,brown,blue,grey,grey,diamond,diamond,diamond,diamond,diamond,triangle,sharp,dimension_form,first,23,6,R-A,,NR-BA,Aufkleber,sharp
55,1,23,zrdc,1,C,8,10,9,9,10,10,1,grey,black,black,black,black,black,quadrat,quadrat,triangle,circle,quadrat,triangle,sharp,dimension_color,second,133,8,NR-B,R-DE,,Aufkleber,sharp
56,1,10,zrcf,1,F,7,2,3,3,3,1,10,orange,orange,orange,orange,orange,blue,triangle,diamond,diamond,diamond,diamond,diamond,sharp,color_form,second,15,7,,NR-BA,R-AB,Aufkleber,sharp
57,1,13,zrcf,1,F,7,9,3,2,2,9,9,brown,brown,brown,brown,brown,orange,circle,diamond,diamond,diamond,diamond,diamond,sharp,color_form,second,96,7,,NR-CB,R-BC,Aufkleber,sharp
58,1,14,brdf,1,F,3,10,10,2,2,10,2,black,orange,orange,grey,brown,green,quadrat,star,quadrat,quadrat,star,star,sharp,dimension_form,both,119,3,BR-A,,BR-DE,Aufkleber,sharp
59,1,5,zrcf,1,F,7,9,1,3,3,1,1,grey,grey,grey,grey,grey,black,quadrat,star,star,star,star,star,sharp,color_form,second,114,7,,NR-DE,R-DE,Aufkleber,sharp
60,1,6,zrdf,1,C,9,9,10,9,10,10,3,brown,orange,blue,blue,green,blue,heart,triangle,triangle,triangle,triangle,triangle,sharp,dimension_form,second,143,9,NR-A,,R-FA,Aufkleber,sharp
61,1,27,ercf,1,C,4,2,2,9,10,3,9,brown,green,green,green,green,green,heart,heart,heart,heart,heart,circle,sharp,color_form,first,237,4,,R-CF,NR-FC,Aufkleber,sharp
62,1,8,zrcf,1,F,7,3,1,9,9,2,10,orange,orange,orange,orange,orange,black,star,diamond,diamond,diamond,diamond,diamond,sharp,color_form,second,195,7,,NR-BE,R-BE,Aufkleber,sharp
63,1,4,zrdc,1,C,8,9,10,10,10,9,2,orange,brown,brown,brown,brown,brown,diamond,star,circle,circle,diamond,diamond,sharp,dimension_color,second,88,8,NR-A,R-BC,,Aufkleber,sharp
64,1,16,brcf,1,CF,1,1,1,1,3,9,10,grey,grey,blue,blue,grey,blue,triangle,quadrat,triangle,triangle,quadrat,quadrat,sharp,color_form,both,171,1,,BR-DA,BR-AD,Aufkleber,sharp
65,1,24,ercf,1,C,4,3,9,1,1,1,10,green,blue,blue,blue,blue,blue,triangle,triangle,triangle,triangle,triangle,heart,sharp,color_form,first,156,4,,R-FA,NR-AF,Aufkleber,sharp
66,1,9,brdf,1,DCF,3,10,10,3,1,10,2,blue,brown,orange,brown,blue,grey,circle,heart,circle,circle,heart,heart,sharp,dimension_form,both,218,3,BR-A,,BR-CF,Aufkleber,sharp
67,1,22,zrdf,1,F,9,10,10,9,9,9,1,grey,black,blue,grey,black,green,diamond,circle,circle,circle,circle,circle,sharp,dimension_form,second,107,9,NR-A,,R-CB,Aufkleber,sharp
68,1,27,zrcf,1,F,7,2,2,10,10,3,9,green,green,green,green,green,brown,heart,circle,circle,circle,circle,circle,sharp,color_form,second,240,7,,NR-FC,R-FC,Aufkleber,sharp
69,1,8,brcf,1,CF,1,1,1,9,1,1,3,orange,orange,black,black,orange,black,star,diamond,star,star,diamond,diamond,sharp,color_form,both,189,1,,BR-BE,BR-BE,Aufkleber,sharp
70,1,24,zrcf,1,F,7,3,10,2,10,1,9,blue,blue,blue,blue,blue,green,triangle,heart,heart,heart,heart,heart,sharp,color_form,second,159,7,,NR-AF,R-AF,Aufkleber,sharp
71,1,9,erdf,1,D,6,10,2,1,1,3,1,grey,black,orange,grey,green,brown,circle,circle,circle,circle,circle,heart,sharp,dimension_form,first,221,6,R-A,,NR-CF,Aufkleber,sharp
72,1,11,zrdf,1,F,9,10,10,10,9,10,1,brown,orange,black,green,green,orange,circle,quadrat,quadrat,quadrat,quadrat,quadrat,sharp,dimension_form,second,44,9,NR-A,,R-CD,Aufkleber,sharp
73,1,6,brdf,1,DF,3,9,9,1,2,9,1,green,green,black,brown,grey,black,heart,triangle,heart,heart,triangle,triangle,sharp,dimension_form,both,137,3,BR-A,,BR-FA,Aufkleber,sharp
74,1,23,erdc,1,D,5,10,2,3,2,3,1,black,black,black,black,black,grey,quadrat,triangle,circle,quadrat,quadrat,quadrat,sharp,dimension_color,first,130,5,R-B,NR-ED,,Aufkleber,sharp
75,1,13,brcf,1,CF,1,3,2,10,9,1,2,brown,brown,orange,orange,brown,orange,circle,diamond,circle,circle,diamond,diamond,sharp,color_form,both,90,1,,BR-CB,BR-BC,Aufkleber,sharp
76,1,17,erdf,1,D,6,10,2,1,3,1,1,green,brown,green,blue,black,blue,star,star,star,star,star,diamond,sharp,dimension_form,first,203,6,R-A,,NR-BE,Aufkleber,sharp
77,1,27,brcf,1,CF,1,1,1,10,1,10,9,brown,brown,green,green,brown,green,heart,circle,heart,heart,circle,circle,sharp,color_form,both,234,1,,BR-CF,BR-FC,Aufkleber,sharp
78,1,4,erdc,1,D,5,10,3,2,2,2,2,orange,orange,orange,orange,orange,brown,diamond,star,diamond,diamond,quadrat,heart,sharp,dimension_color,first,85,5,R-A,NR-BC,,Aufkleber,sharp
79,1,19,zrdf,1,F,9,9,9,10,9,10,3,brown,blue,green,grey,brown,green,diamond,triangle,triangle,triangle,triangle,triangle,sharp,dimension_form,second,26,9,NR-A,,R-BA,Aufkleber,sharp
80,1,7,erdc,1,D,5,10,3,3,3,3,3,blue,blue,blue,blue,blue,grey,quadrat,diamond,circle,star,quadrat,heart,sharp,dimension_color,first,166,5,R-A,NR-AD,,Aufkleber,sharp
81,2,16,brcf,1,DF,1,1,1,1,3,9,10,grey,grey,blue,blue,grey,blue,triangle,quadrat,triangle,triangle,quadrat,quadrat,sharp,color_form,both,171,1,,BR-DA,BR-AD,Aufkleber,sharp
82,2,14,brdf,1,DF,3,10,10,2,2,10,2,black,orange,orange,grey,brown,green,quadrat,star,quadrat,quadrat,star,star,sharp,dimension_form,both,119,3,BR-A,,BR-DE,Aufkleber,sharp
83,2,2,brcf,1,CF,1,10,9,9,2,2,1,brown,brown,grey,grey,brown,grey,circle,quadrat,circle,circle,quadrat,quadrat,sharp,color_form,both,27,1,,BR-CD,BR-CD,Aufkleber,sharp
84,2,22,zrdf,1,CF,9,10,10,9,9,9,1,grey,black,blue,grey,black,green,diamond,circle,circle,circle,circle,circle,sharp,dimension_form,second,107,9,NR-A,,R-CB,Aufkleber,sharp
85,2,24,ercf,1,CF,4,3,9,1,1,1,10,green,blue,blue,blue,blue,blue,triangle,triangle,triangle,triangle,triangle,heart,sharp,color_form,first,156,4,,R-FA,NR-AF,Aufkleber,sharp
86,2,26,brdc,1,FC,2,9,10,1,1,10,1,orange,black,orange,orange,black,black,triangle,diamond,circle,quadrat,star,circle,sharp,dimension_color,both,208,2,BR-B,BR-BE,,Aufkleber,sharp
87,2,19,erdf,1,D,6,10,1,3,2,2,1,green,blue,brown,blue,grey,grey,diamond,diamond,diamond,diamond,diamond,triangle,sharp,dimension_form,first,23,6,R-A,,NR-BA,Aufkleber,sharp
88,2,20,zrdc,1,C,8,10,10,10,10,10,1,brown,grey,grey,grey,grey,grey,triangle,diamond,triangle,star,heart,quadrat,sharp,dimension_color,second,52,8,NR-B,R-CD,,Aufkleber,sharp
89,2,22,erdf,1,D,6,10,1,3,3,1,1,brown,brown,green,black,grey,green,diamond,diamond,diamond,diamond,diamond,circle,sharp,dimension_form,first,104,6,R-A,,NR-CB,Aufkleber,sharp
90,2,4,brdc,1,CF,2,10,9,1,2,9,2,orange,brown,orange,orange,brown,brown,quadrat,quadrat,heart,quadrat,diamond,star,sharp,dimension_color,both,82,2,BR-A,BR-BC,,Aufkleber,sharp
91,2,12,zrdc,1,C,8,9,9,9,9,9,1,green,black,black,black,black,black,triangle,quadrat,diamond,star,heart,quadrat,sharp,dimension_color,second,70,8,NR-B,R-FE,,Aufkleber,sharp
92,2,26,erdc,1,D,5,10,3,1,3,1,3,black,black,black,black,black,orange,diamond,star,heart,quadrat,diamond,triangle,sharp,dimension_color,first,211,5,R-B,NR-EB,,Aufkleber,sharp
93,2,16,ercf,1,C,4,3,9,3,10,1,1,grey,blue,blue,blue,blue,blue,triangle,triangle,triangle,triangle,triangle,quadrat,sharp,color_form,first,174,4,,R-DA,NR-AD,Aufkleber,sharp
94,2,21,zrcf,1,F,7,2,2,10,1,10,1,green,green,green,green,green,black,heart,star,star,star,star,star,sharp,color_form,second,78,7,,NR-FE,R-FE,Aufkleber,sharp
95,2,14,erdf,1,D,6,9,3,3,1,3,2,blue,blue,grey,brown,black,orange,quadrat,quadrat,quadrat,quadrat,quadrat,star,sharp,dimension_form,first,122,6,R-A,,NR-DE,Aufkleber,sharp
96,2,13,zrcf,1,CF,7,9,3,2,2,9,9,brown,brown,brown,brown,brown,orange,circle,diamond,diamond,diamond,diamond,diamond,sharp,color_form,second,96,7,,NR-CB,R-BC,Aufkleber,sharp
97,2,18,erdc,1,D,5,10,1,3,2,1,2,green,green,green,green,green,brown,quadrat,quadrat,quadrat,diamond,quadrat,quadrat,sharp,dimension_color,first,229,5,R-B,NR-FC,,Aufkleber,sharp
98,2,17,zrdf,1,F,9,9,10,9,9,9,1,black,brown,black,brown,blue,brown,star,diamond,diamond,diamond,diamond,diamond,sharp,dimension_form,second,206,9,NR-A,,R-BE,Aufkleber,sharp
99,2,22,brdf,1,CDF,3,9,9,1,1,10,3,green,black,brown,black,black,orange,diamond,circle,diamond,diamond,circle,circle,sharp,dimension_form,both,101,3,BR-A,,BR-CB,Aufkleber,sharp
100,2,19,brdf,1,CDF,3,10,10,1,2,9,3,grey,grey,blue,blue,blue,grey,diamond,triangle,diamond,diamond,triangle,triangle,sharp,dimension_form,both,20,3,BR-A,,BR-BA,Aufkleber,sharp
101,2,15,erdc,1,DF,5,9,1,2,1,2,2,blue,blue,blue,blue,blue,green,triangle,quadrat,star,triangle,quadrat,star,sharp,dimension_color,first,148,5,R-B,NR-AF,,Aufkleber,sharp
102,2,2,ercf,1,C,4,1,9,1,9,10,1,brown,grey,grey,grey,grey,grey,circle,circle,circle,circle,circle,quadrat,sharp,color_form,first,30,4,,R-CD,NR-CD,Aufkleber,sharp
103,2,8,ercf,1,D,4,3,2,10,1,1,3,orange,black,black,black,black,black,star,star,star,star,star,diamond,sharp,color_form,first,192,4,,R-BE,NR-BE,Aufkleber,sharp
104,2,27,brcf,1,CF,1,1,1,10,1,10,9,brown,brown,green,green,brown,green,heart,circle,heart,heart,circle,circle,sharp,color_form,both,234,1,,BR-CF,BR-FC,Aufkleber,sharp
105,2,1,zrdc,1,C,8,9,10,9,10,9,2,blue,orange,orange,orange,orange,orange,star,heart,quadrat,quadrat,quadrat,star,sharp,dimension_color,second,7,8,NR-A,R-AB,,Aufkleber,sharp
106,2,9,zrdf,1,F,9,10,9,9,9,9,1,brown,black,black,blue,orange,grey,circle,heart,heart,heart,heart,heart,sharp,dimension_form,second,224,9,NR-A,,R-CF,Aufkleber,sharp
107,2,21,ercf,1,C,4,9,9,3,1,2,1,black,green,green,green,green,green,heart,heart,heart,heart,heart,star,sharp,color_form,first,75,4,,R-EF,NR-FE,Aufkleber,sharp
108,2,23,zrdc,1,C,8,10,9,9,10,10,1,grey,black,black,black,black,black,quadrat,quadrat,triangle,circle,quadrat,triangle,sharp,dimension_color,second,133,8,NR-B,R-DE,,Aufkleber,sharp
109,2,5,brcf,1,DCF,1,2,2,1,2,3,2,grey,grey,black,black,grey,black,quadrat,star,quadrat,quadrat,star,star,sharp,color_form,both,108,1,,BR-DE,BR-DE,Aufkleber,sharp
110,2,13,brcf,1,CF,1,3,2,10,9,1,2,brown,brown,orange,orange,brown,orange,circle,diamond,circle,circle,diamond,diamond,sharp,color_form,both,90,1,,BR-CB,BR-BC,Aufkleber,sharp
111,2,25,brdf,1,CF,3,9,9,1,1,9,2,brown,black,blue,black,black,blue,quadrat,triangle,quadrat,quadrat,triangle,triangle,sharp,dimension_form,both,182,3,BR-A,,BR-DA,Aufkleber,sharp
112,2,11,erdf,1,D,6,10,1,2,2,3,1,blue,grey,orange,brown,orange,grey,circle,circle,circle,circle,circle,quadrat,sharp,dimension_form,first,41,6,R-A,,NR-CD,Aufkleber,sharp
113,2,9,erdf,1,DF,6,10,2,1,1,3,1,grey,black,orange,grey,green,brown,circle,circle,circle,circle,circle,heart,sharp,dimension_form,first,221,6,R-A,,NR-CF,Aufkleber,sharp
114,2,2,zrcf,1,F,7,1,9,3,3,1,10,brown,brown,brown,brown,brown,grey,circle,quadrat,quadrat,quadrat,quadrat,quadrat,sharp,color_form,second,33,7,,NR-CD,R-CD,Aufkleber,sharp
115,2,25,erdf,1,D,6,9,2,2,2,2,3,black,orange,orange,black,grey,grey,quadrat,quadrat,quadrat,quadrat,quadrat,triangle,sharp,dimension_form,first,185,6,R-A,,NR-DA,Aufkleber,sharp
116,2,6,zrdf,1,F,9,9,10,9,10,10,3,brown,orange,blue,blue,green,blue,heart,triangle,triangle,triangle,triangle,triangle,sharp,dimension_form,second,143,9,NR-A,,R-FA,Aufkleber,sharp
117,2,4,zrdc,1,C,8,9,10,10,10,9,2,orange,brown,brown,brown,brown,brown,diamond,star,circle,circle,diamond,diamond,sharp,dimension_color,second,88,8,NR-A,R-BC,,Aufkleber,sharp
118,2,15,brdc,1,F,2,10,10,3,3,10,3,blue,green,blue,blue,green,green,triangle,star,diamond,circle,heart,quadrat,sharp,dimension_color,both,145,2,BR-B,BR-AF,,Aufkleber,sharp
119,2,16,zrcf,1,F,7,10,10,10,3,1,2,grey,grey,grey,grey,grey,blue,triangle,quadrat,quadrat,quadrat,quadrat,quadrat,sharp,color_form,second,177,7,,NR-DA,R-AD,Aufkleber,sharp
120,2,21,brcf,1,CF,1,3,9,9,1,1,2,black,black,green,green,black,green,heart,star,heart,heart,star,star,sharp,color_form,both,72,1,,BR-EF,BR-FE,Aufkleber,sharp
121,2,24,zrcf,1,F,7,3,10,2,10,1,9,blue,blue,blue,blue,blue,green,triangle,heart,heart,heart,heart,heart,sharp,color_form,second,159,7,,NR-AF,R-AF,Aufkleber,sharp
122,2,23,brdc,1,CF,2,10,10,2,3,9,3,grey,black,grey,grey,black,black,star,diamond,triangle,circle,quadrat,circle,sharp,dimension_color,both,127,2,BR-B,BR-DE,,Aufkleber,sharp
123,2,17,brdf,1,DF,3,9,10,3,2,10,2,orange,blue,black,blue,green,orange,star,diamond,star,star,diamond,diamond,sharp,dimension_form,both,200,3,BR-A,,BR-BE,Aufkleber,sharp
124,2,25,zrdf,1,F,9,10,10,9,10,9,3,blue,grey,black,green,green,green,quadrat,triangle,triangle,triangle,triangle,triangle,sharp,dimension_form,second,188,9,NR-A,,R-DA,Aufkleber,sharp
125,2,6,erdf,1,D,6,9,2,2,1,3,1,green,grey,orange,brown,green,brown,heart,heart,heart,heart,heart,triangle,sharp,dimension_form,first,140,6,R-A,,NR-FA,Aufkleber,sharp
126,2,14,zrdf,1,F,9,9,9,9,10,9,2,black,green,brown,brown,grey,grey,quadrat,star,star,star,star,star,sharp,dimension_form,second,125,9,NR-A,,R-DE,Aufkleber,sharp
127,2,19,zrdf,1,F,9,9,9,10,9,10,3,brown,blue,green,grey,brown,green,diamond,triangle,triangle,triangle,triangle,triangle,sharp,dimension_form,second,26,9,NR-A,,R-BA,Aufkleber,sharp
128,2,3,brdf,1,DF,3,10,10,3,2,9,1,orange,brown,orange,green,green,brown,star,heart,star,star,heart,heart,sharp,dimension_form,both,56,3,BR-A,,BR-EF,Aufkleber,sharp
129,2,1,brdc,1,DC,2,10,10,3,2,10,1,blue,orange,blue,blue,orange,orange,triangle,quadrat,quadrat,circle,diamond,triangle,sharp,dimension_color,both,1,2,BR-A,BR-AB,,Aufkleber,sharp
130,2,18,zrdc,1,C,8,9,10,9,10,9,2,green,brown,brown,brown,brown,brown,quadrat,heart,triangle,triangle,circle,heart,sharp,dimension_color,second,232,8,NR-B,R-FC,,Aufkleber,sharp
